Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 18-May-2020

AARD=	0.4746

No	Cation	Anion	Solute	T	Vcal	Vexp	ARD	
188	Epy	NTF2	DCM	  303.15	0.4622	1.0500	0.5598
189	MMIM	NTF2	DCM	  332.70	0.4892	1.0600	0.5385
190	MPOMIM	BF4	DCM	  323.15	0.4440	1.0700	0.5851
191	BMIM	TFO	DCM	  323.15	0.4428	1.0770	0.5889
192	C4SO3MIM	NTF2	DCM	  323.15	0.8113	1.0800	0.2488
193	OMMMIM	BF4	DCM	  313.15	0.2493	1.0840	0.7701
194	OMMMIM	BF4	DCM	  323.15	0.2629	1.0920	0.7592
195	OMMMIM	BF4	DCM	  333.15	0.2762	1.0960	0.7480
196	BMIM	BF4	DCM	  303.15	0.4061	1.0990	0.6304
197	BMIM	ClO4	DCM	  343.15	0.5159	1.1000	0.5310
198	OMMMIM	BF4	DCM	  343.15	0.2890	1.1020	0.7377
199	BMIM	TFO	DCM	  333.15	0.4577	1.1030	0.5850
200	OMMMIM	BF4	DCM	  353.15	0.3014	1.1060	0.7275
201	PCNMIM	DCA	DCM	  332.55	0.5902	1.1100	0.4683
202	EMIM	BF4	DCM	  303.15	0.3923	1.1230	0.6507
203	BMIM	ClO4	DCM	  353.15	0.5384	1.1300	0.5236
204	BMIM	TFO	DCM	  343.15	0.4718	1.1320	0.5832
205	BMIM	BF4	DCM	  313.15	0.4339	1.1480	0.6221
206	MPOMIM	BF4	DCM	  333.15	0.4687	1.1600	0.5959
207	EMIM	BF4	DCM	  313.15	0.4325	1.1610	0.6275
208	BMIM	TFO	DCM	  353.15	0.4850	1.1740	0.5869
209	C4SO3MIM	NTF2	DCM	  333.15	0.8701	1.1800	0.2626
210	MPOMIM	BF4	DCM	  343.15	0.4926	1.1900	0.5860
211	BMIM	BF4	DCM	  323.15	0.4609	1.1970	0.6150
212	BMIM	TFO	DCM	  363.15	0.4975	1.2000	0.5854
213	EMIM	BF4	DCM	  323.15	0.4729	1.2060	0.6078
214	EtOEMIM	NTF2	DCM	  322.55	0.4812	1.2100	0.6023
215	BMIM	BF4	DCM	  333.15	0.4870	1.2360	0.6060
216	EtOEMIM	NTF2	DCM	  332.55	0.5115	1.2500	0.5908
217	EtOEMIM	NTF2	DCM	  342.85	0.5417	1.2500	0.5667
218	EMIM	BF4	DCM	  333.15	0.5135	1.2550	0.5909
219	C4SO3MIM	NTF2	DCM	  343.15	0.9269	1.2800	0.2758
220	BMIM	BF4	DCM	  343.15	0.5122	1.2810	0.6002
221	C4SO3MIM	TFO	DCM	  323.15	0.8067	1.3000	0.3794
222	EMIM	BF4	DCM	  343.15	0.5537	1.3190	0.5802
223	EtOEMIM	BETI	DCM	  353.15	0.3863	1.3600	0.7159
224	EMIM	BF4	DCM	  353.15	0.5935	1.3600	0.5636
225	EMIM	BF4	DCM	  363.15	0.6326	1.3850	0.5432
226	EtOEMIM	BETI	DCM	  343.15	0.3819	1.3900	0.7253
227	EtOEMIM	BETI	DCM	  333.15	0.3771	1.4300	0.7363
228	EtOEMIM	NFO	DCM	  353.00	0.4071	1.4500	0.7192
229	C4SO3MIM	TFO	DCM	  333.15	0.8307	1.4600	0.4310
230	EtOEMIM	BETI	DCM	  323.15	0.3718	1.4700	0.7471
231	EtOEMIM	BETI	DCM	  318.15	0.3690	1.4900	0.7523
232	EtOEMIM	NFO	DCM	  343.00	0.3998	1.5400	0.7404
